20220601 022800;1.071320;1.071370;1.071320;1.071340;0
20220601 022900;1.071400;1.071400;1.071320;1.071330;0
20220601 023000;1.071340;1.071380;1.071240;1.071280;0
20220601 023100;1.071290;1.071290;1.071060;1.071080;0
20220601 023200;1.071080;1.071100;1.070950;1.071020;0
20220601 023300;1.071060;1.071080;1.070960;1.071020;0
20220601 023400;1.071010;1.071060;1.071010;1.071050;0
20220601 023500;1.071070;1.071310;1.071050;1.071310;0
20220601 023600;1.071320;1.071390;1.071310;1.071380;0
20220601 023700;1.071400;1.071460;1.071310;1.071370;0
20220601 023800;1.071400;1.071460;1.071370;1.071440;0
20220601 023900;1.071430;1.071430;1.071310;1.071310;0
20220601 024000;1.071320;1.071410;1.071270;1.071280;0
20220601 024100;1.071330;1.071410;1.071270;1.071270;0
20220601 024200;1.071280;1.071280;1.071050;1.071130;0
20220601 024300;1.071120;1.071470;1.071120;1.071470;0
20220601 024400;1.071490;1.071720;1.071470;1.071700;0
20220601 024500;1.071710;1.071750;1.071620;1.071720;0
20220601 024600;1.071710;1.071720;1.071630;1.071710;0
20220601 024700;1.071700;1.071770;1.071680;1.071690;0
20220601 024800;1.071680;1.071700;1.071530;1.071590;0
20220601 024900;1.071580;1.071720;1.071530;1.071680;0
20220601 025000;1.071670;1.071670;1.071560;1.071600;0
20220601 025100;1.071610;1.071660;1.071520;1.071650;0
20220601 025200;1.071620;1.071750;1.071620;1.071630;0
20220601 025300;1.071640;1.071640;1.071520;1.071530;0
20220601 025400;1.071550;1.071650;1.071540;1.071600;0
20220601 025500;1.071600;1.071790;1.071490;1.071780;0
20220601 025600;1.071770;1.071800;1.071650;1.071660;0
20220601 025700;1.071660;1.071880;1.071550;1.071880;0
20220601 025800;1.071890;1.072550;1.071830;1.072550;0
20220601 025900;1.072570;1.072570;1.072280;1.072370;0
20220601 030000;1.072380;1.072820;1.072170;1.072700;0
20220601 030100;1.072680;1.072680;1.072400;1.072430;0
20220601 030200;1.072420;1.072800;1.072360;1.072740;0
20220601 030300;1.072720;1.072720;1.072610;1.072640;0
20220601 030400;1.072610;1.072710;1.072480;1.072480;0
20220601 030500;1.072470;1.072540;1.072410;1.072480;0
20220601 030600;1.072480;1.072780;1.072390;1.072770;0
20220601 030700;1.072780;1.072860;1.072690;1.072800;0
20220601 030800;1.072790;1.072980;1.072750;1.072950;0
20220601 030900;1.072950;1.073390;1.072950;1.073340;0
20220601 031000;1.073340;1.073720;1.073210;1.073640;0
20220601 031100;1.073650;1.073710;1.073370;1.073400;0
20220601 031200;1.073390;1.073660;1.073390;1.073410;0
20220601 031300;1.073390;1.073660;1.073390;1.073590;0
20220601 031400;1.073590;1.073610;1.073460;1.073520;0
20220601 031500;1.073540;1.073600;1.073460;1.073480;0
20220601 031600;1.073500;1.073520;1.073360;1.073380;0
20220601 031700;1.073400;1.073410;1.073110;1.073110;0
20220601 031800;1.073120;1.073200;1.073100;1.073120;0
20220601 031900;1.073120;1.073170;1.073080;1.073130;0
20220601 032000;1.073120;1.073270;1.072910;1.072910;0
20220601 032100;1.072910;1.072930;1.072580;1.072600;0
20220601 032200;1.072590;1.072620;1.072470;1.072530;0
20220601 032300;1.072530;1.072730;1.072530;1.072650;0
20220601 032400;1.072650;1.072730;1.072590;1.072610;0
20220601 032500;1.072630;1.072680;1.072490;1.072660;0
20220601 032600;1.072640;1.072640;1.072440;1.072500;0
20220601 032700;1.072500;1.072630;1.072430;1.072470;0
20220601 032800;1.072480;1.072540;1.072320;1.072420;0
20220601 032900;1.072420;1.072500;1.072350;1.072470;0
20220601 033000;1.072480;1.072480;1.071970;1.071970;0
20220601 033100;1.072010;1.072210;1.072010;1.072200;0
20220601 033200;1.072190;1.072300;1.072160;1.072260;0
20220601 033300;1.072290;1.072370;1.072240;1.072270;0
20220601 033400;1.072280;1.072570;1.072270;1.072550;0
20220601 033500;1.072550;1.072550;1.072350;1.072470;0
20220601 033600;1.072490;1.072620;1.072460;1.072530;0
20220601 033700;1.072530;1.072690;1.072490;1.072650;0
20220601 033800;1.072640;1.072670;1.072490;1.072570;0
20220601 033900;1.072580;1.072590;1.072340;1.072340;0
20220601 034000;1.072340;1.072440;1.072300;1.072320;0
20220601 034100;1.072320;1.072320;1.071770;1.071810;0
20220601 034200;1.071810;1.071850;1.071620;1.071620;0
20220601 034300;1.071590;1.071640;1.071370;1.071450;0
20220601 034400;1.071430;1.071510;1.071310;1.071510;0
20220601 034500;1.071500;1.071500;1.071170;1.071280;0
20220601 034600;1.071250;1.071620;1.071120;1.071610;0
20220601 034700;1.071610;1.071710;1.071570;1.071710;0
20220601 034800;1.071710;1.071710;1.071580;1.071660;0
20220601 034900;1.071700;1.071920;1.071690;1.071890;0
20220601 035000;1.071900;1.071990;1.071810;1.071980;0
20220601 035100;1.071990;1.072160;1.071950;1.072130;0
20220601 035200;1.072130;1.072170;1.071920;1.072110;0
20220601 035300;1.072120;1.072120;1.071830;1.071860;0
20220601 035400;1.071860;1.071860;1.071590;1.071600;0
